<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
YNDX,D,26/02/16,00:00,983.5000000
YNDX,D,29/02/16,00:00,978.0000000
YNDX,D,01/03/16,00:00,989.5000000
YNDX,D,02/03/16,00:00,1003.0000000
YNDX,D,03/03/16,00:00,1018.0000000
YNDX,D,04/03/16,00:00,999.0000000
YNDX,D,07/03/16,00:00,1020.0000000
YNDX,D,09/03/16,00:00,994.0000000
YNDX,D,10/03/16,00:00,978.5000000
YNDX,D,11/03/16,00:00,979.0000000
YNDX,D,14/03/16,00:00,1023.0000000
YNDX,D,15/03/16,00:00,1004.0000000
YNDX,D,16/03/16,00:00,1021.0000000
YNDX,D,17/03/16,00:00,1032.0000000
YNDX,D,18/03/16,00:00,1034.5000000
YNDX,D,21/03/16,00:00,1022.0000000
YNDX,D,22/03/16,00:00,1023.5000000
YNDX,D,23/03/16,00:00,1020.5000000
YNDX,D,24/03/16,00:00,1028.0000000
YNDX,D,25/03/16,00:00,1032.5000000
YNDX,D,28/03/16,00:00,1013.0000000
YNDX,D,29/03/16,00:00,1036.0000000
YNDX,D,30/03/16,00:00,1041.5000000
YNDX,D,31/03/16,00:00,1022.0000000
YNDX,D,01/04/16,00:00,1028.0000000
YNDX,D,04/04/16,00:00,1033.0000000
YNDX,D,05/04/16,00:00,1039.0000000
YNDX,D,06/04/16,00:00,1041.0000000
YNDX,D,07/04/16,00:00,1060.0000000
YNDX,D,08/04/16,00:00,1018.0000000
YNDX,D,11/04/16,00:00,1045.0000000
YNDX,D,12/04/16,00:00,1088.5000000
YNDX,D,13/04/16,00:00,1127.0000000
YNDX,D,14/04/16,00:00,1109.5000000
YNDX,D,15/04/16,00:00,1109.0000000
YNDX,D,18/04/16,00:00,1130.0000000
YNDX,D,19/04/16,00:00,1148.0000000
YNDX,D,20/04/16,00:00,1186.0000000
YNDX,D,21/04/16,00:00,1200.0000000
YNDX,D,22/04/16,00:00,1196.0000000
YNDX,D,25/04/16,00:00,1176.5000000
YNDX,D,26/04/16,00:00,1173.0000000
YNDX,D,27/04/16,00:00,1194.0000000
YNDX,D,28/04/16,00:00,1300.0000000
YNDX,D,29/04/16,00:00,1301.0000000
YNDX,D,04/05/16,00:00,1337.5000000
YNDX,D,05/05/16,00:00,1316.5000000
YNDX,D,06/05/16,00:00,1291.0000000
YNDX,D,10/05/16,00:00,1291.5000000
YNDX,D,11/05/16,00:00,1286.0000000
YNDX,D,12/05/16,00:00,1277.0000000
YNDX,D,13/05/16,00:00,1276.5000000
YNDX,D,16/05/16,00:00,1297.0000000
YNDX,D,17/05/16,00:00,1278.5000000
YNDX,D,18/05/16,00:00,1267.5000000
YNDX,D,19/05/16,00:00,1261.0000000
YNDX,D,20/05/16,00:00,1278.0000000
YNDX,D,23/05/16,00:00,1288.0000000
YNDX,D,24/05/16,00:00,1289.5000000
YNDX,D,25/05/16,00:00,1305.0000000
YNDX,D,26/05/16,00:00,1303.5000000
YNDX,D,27/05/16,00:00,1311.0000000
YNDX,D,30/05/16,00:00,1317.5000000
YNDX,D,31/05/16,00:00,1357.0000000
YNDX,D,01/06/16,00:00,1369.5000000
YNDX,D,02/06/16,00:00,1371.0000000
YNDX,D,03/06/16,00:00,1370.0000000
YNDX,D,06/06/16,00:00,1399.0000000
YNDX,D,07/06/16,00:00,1413.0000000
YNDX,D,08/06/16,00:00,1450.0000000
YNDX,D,09/06/16,00:00,1464.0000000
YNDX,D,10/06/16,00:00,1430.0000000
YNDX,D,14/06/16,00:00,1375.5000000
YNDX,D,15/06/16,00:00,1408.5000000
YNDX,D,16/06/16,00:00,1380.0000000
YNDX,D,17/06/16,00:00,1406.0000000
YNDX,D,20/06/16,00:00,1418.5000000
YNDX,D,21/06/16,00:00,1377.0000000
YNDX,D,22/06/16,00:00,1407.0000000
YNDX,D,23/06/16,00:00,1428.0000000
YNDX,D,24/06/16,00:00,1379.5000000
YNDX,D,27/06/16,00:00,1291.0000000
YNDX,D,28/06/16,00:00,1336.0000000
YNDX,D,29/06/16,00:00,1372.5000000
YNDX,D,30/06/16,00:00,1399.0000000
YNDX,D,01/07/16,00:00,1403.0000000
YNDX,D,04/07/16,00:00,1390.0000000
YNDX,D,05/07/16,00:00,1383.0000000
YNDX,D,06/07/16,00:00,1373.5000000
YNDX,D,07/07/16,00:00,1390.0000000
YNDX,D,08/07/16,00:00,1413.0000000
YNDX,D,11/07/16,00:00,1407.0000000
YNDX,D,12/07/16,00:00,1473.0000000
YNDX,D,13/07/16,00:00,1403.0000000
YNDX,D,14/07/16,00:00,1391.0000000
YNDX,D,15/07/16,00:00,1373.5000000
YNDX,D,18/07/16,00:00,1354.0000000
YNDX,D,19/07/16,00:00,1345.5000000
YNDX,D,20/07/16,00:00,1360.0000000
YNDX,D,21/07/16,00:00,1376.0000000
YNDX,D,22/07/16,00:00,1387.5000000
YNDX,D,25/07/16,00:00,1377.5000000
YNDX,D,26/07/16,00:00,1404.0000000
YNDX,D,27/07/16,00:00,1419.0000000
YNDX,D,28/07/16,00:00,1485.5000000
YNDX,D,29/07/16,00:00,1442.0000000
YNDX,D,01/08/16,00:00,1438.5000000
YNDX,D,02/08/16,00:00,1416.0000000
YNDX,D,03/08/16,00:00,1409.0000000
YNDX,D,04/08/16,00:00,1417.0000000
YNDX,D,05/08/16,00:00,1429.0000000
YNDX,D,08/08/16,00:00,1420.0000000
YNDX,D,09/08/16,00:00,1447.0000000
YNDX,D,10/08/16,00:00,1447.0000000
YNDX,D,11/08/16,00:00,1485.0000000
YNDX,D,12/08/16,00:00,1506.0000000
YNDX,D,15/08/16,00:00,1498.0000000
YNDX,D,16/08/16,00:00,1491.0000000
YNDX,D,17/08/16,00:00,1459.0000000
YNDX,D,18/08/16,00:00,1451.0000000
YNDX,D,19/08/16,00:00,1445.5000000
YNDX,D,22/08/16,00:00,1441.0000000
YNDX,D,23/08/16,00:00,1449.0000000
YNDX,D,24/08/16,00:00,1453.0000000
YNDX,D,25/08/16,00:00,1444.5000000
YNDX,D,26/08/16,00:00,1447.0000000
YNDX,D,29/08/16,00:00,1442.0000000
YNDX,D,30/08/16,00:00,1437.5000000
YNDX,D,31/08/16,00:00,1428.0000000
YNDX,D,01/09/16,00:00,1464.0000000
YNDX,D,02/09/16,00:00,1463.0000000
YNDX,D,05/09/16,00:00,1455.5000000
YNDX,D,06/09/16,00:00,1441.0000000
YNDX,D,07/09/16,00:00,1418.0000000
YNDX,D,08/09/16,00:00,1409.0000000
YNDX,D,09/09/16,00:00,1370.0000000
YNDX,D,12/09/16,00:00,1350.0000000
YNDX,D,13/09/16,00:00,1326.0000000
YNDX,D,14/09/16,00:00,1321.5000000
YNDX,D,15/09/16,00:00,1319.5000000
YNDX,D,16/09/16,00:00,1335.0000000
YNDX,D,19/09/16,00:00,1341.0000000
YNDX,D,20/09/16,00:00,1341.0000000
YNDX,D,21/09/16,00:00,1348.5000000
YNDX,D,22/09/16,00:00,1401.0000000
YNDX,D,23/09/16,00:00,1398.5000000
YNDX,D,26/09/16,00:00,1370.0000000
YNDX,D,27/09/16,00:00,1353.0000000
YNDX,D,28/09/16,00:00,1355.0000000
YNDX,D,29/09/16,00:00,1353.0000000
YNDX,D,30/09/16,00:00,1341.0000000
YNDX,D,03/10/16,00:00,1356.0000000
YNDX,D,04/10/16,00:00,1346.0000000
YNDX,D,05/10/16,00:00,1371.0000000
YNDX,D,06/10/16,00:00,1376.5000000
YNDX,D,07/10/16,00:00,1367.0000000
YNDX,D,10/10/16,00:00,1352.5000000
YNDX,D,11/10/16,00:00,1350.5000000
YNDX,D,12/10/16,00:00,1290.0000000
YNDX,D,13/10/16,00:00,1231.0000000
YNDX,D,14/10/16,00:00,1212.0000000
YNDX,D,17/10/16,00:00,1186.0000000
YNDX,D,18/10/16,00:00,1228.5000000
YNDX,D,19/10/16,00:00,1238.5000000
YNDX,D,20/10/16,00:00,1234.0000000
YNDX,D,21/10/16,00:00,1213.5000000
YNDX,D,24/10/16,00:00,1221.0000000
YNDX,D,25/10/16,00:00,1222.5000000
YNDX,D,26/10/16,00:00,1194.5000000
YNDX,D,27/10/16,00:00,1261.0000000
YNDX,D,28/10/16,00:00,1270.0000000
YNDX,D,31/10/16,00:00,1256.0000000
YNDX,D,01/11/16,00:00,1243.5000000
YNDX,D,02/11/16,00:00,1212.0000000
YNDX,D,03/11/16,00:00,1190.0000000
YNDX,D,07/11/16,00:00,1196.0000000
YNDX,D,08/11/16,00:00,1197.0000000
YNDX,D,09/11/16,00:00,1234.0000000
YNDX,D,10/11/16,00:00,1240.5000000
YNDX,D,11/11/16,00:00,1225.0000000
YNDX,D,14/11/16,00:00,1195.0000000
YNDX,D,15/11/16,00:00,1170.0000000
YNDX,D,16/11/16,00:00,1164.0000000
YNDX,D,17/11/16,00:00,1150.0000000
YNDX,D,18/11/16,00:00,1203.5000000
YNDX,D,21/11/16,00:00,1201.0000000
YNDX,D,22/11/16,00:00,1177.0000000
YNDX,D,23/11/16,00:00,1228.0000000
YNDX,D,24/11/16,00:00,1228.5000000
YNDX,D,25/11/16,00:00,1221.5000000
YNDX,D,28/11/16,00:00,1213.0000000
YNDX,D,29/11/16,00:00,1215.0000000
YNDX,D,30/11/16,00:00,1201.5000000
YNDX,D,01/12/16,00:00,1217.0000000
YNDX,D,02/12/16,00:00,1197.5000000
YNDX,D,05/12/16,00:00,1199.0000000
YNDX,D,06/12/16,00:00,1231.0000000
YNDX,D,07/12/16,00:00,1243.0000000
YNDX,D,08/12/16,00:00,1252.0000000
YNDX,D,09/12/16,00:00,1248.0000000
YNDX,D,12/12/16,00:00,1239.0000000
YNDX,D,13/12/16,00:00,1277.0000000
YNDX,D,14/12/16,00:00,1282.5000000
YNDX,D,15/12/16,00:00,1292.0000000
YNDX,D,16/12/16,00:00,1263.0000000
YNDX,D,19/12/16,00:00,1255.0000000
YNDX,D,20/12/16,00:00,1267.0000000
YNDX,D,21/12/16,00:00,1245.0000000
YNDX,D,22/12/16,00:00,1246.0000000
YNDX,D,23/12/16,00:00,1252.0000000
YNDX,D,26/12/16,00:00,1245.0000000
YNDX,D,27/12/16,00:00,1237.0000000
YNDX,D,28/12/16,00:00,1228.0000000
YNDX,D,29/12/16,00:00,1241.0000000
YNDX,D,30/12/16,00:00,1247.5000000
YNDX,D,03/01/17,00:00,1241.0000000
YNDX,D,04/01/17,00:00,1239.0000000
YNDX,D,05/01/17,00:00,1252.0000000
YNDX,D,06/01/17,00:00,1291.0000000
YNDX,D,09/01/17,00:00,1317.0000000
